begin,end,participant,utterance,source,utterance_raw,language,corpus,duration,uid,nature,utterance_stripped,nwords,nchar,n,rank,freq,overlap,priorby,FTO,overlapped,talk_all,talk_rel,load,transitions,turns_all,turns_rel,participants,rank_perc,freq_perc
0,1681,spreker1 [v] (TIE0),[laugh],/dutch2/DVA10O,ggg,dutch,dutch2,1681,dutch-01-001-0,laugh,NA,NA,NA,NA,NA,NA,NA,self,NA,NA,1681,1,1,0,1,1,1,NA,NA
1681,3705,spreker1 [v] (TIE0),oké nou ik ga je even vertellen,/dutch2/DVA10O,oké nou ik ga je even vertellen,dutch,dutch2,2024,dutch-01-002-1681,talk,oké nou ik ga je even vertellen,7,31,1,205,1.5556098217596995e-10,NA,self,NA,NA,3705,1,1,0,2,1,1,99,68
3705,4786,spreker1 [v] (TIE0),van gister [laugh],/dutch2/DVA10O,van gister ggg,dutch,dutch2,1081,dutch-01-003-3705,talk,van gister,2,10,2,204,3.111219643519399e-10,NA,self,NA,overlapped,4786,1,1,0,3,1,1,31,72
4752,5275,spreker2 [v] (TIE2),ja,/dutch2/DVA10O,ja,dutch,dutch2,523,dutch-01-004-4752,talk,ja,1,2,77862,1,1.2112289194185375e-5,partial,other,-34,NA,5309,0.0985119608212469,1.00644549763033,1,4,0.25,2,10,100
5275,6682,spreker1 [v] (TIE0),want ik was dus,/dutch2/DVA10O,want ik was dus,dutch,dutch2,1407,dutch-01-005-5275,talk,want ik was dus,4,15,1,205,1.5556098217596995e-10,NA,other,0,NA,6716,0.922126265634306,1.00508829691709,2,5,0.8,2,99,68
7008,7939,spreker1 [v] (TIE0),uhm,/dutch2/DVA10O,uhm,dutch,dutch2,931,dutch-01-006-7008,talk,uhm,1,3,2937,9,4.568826046508238e-7,NA,self,NA,NA,7647,0.931607166208971,0.963219549061595,2,6,0.833333333333333,2,16,85
8077.999999999999,9486,spreker1 [v] (TIE0),toen we bij wim vandaan kwamen,/dutch2/DVA10O,toen we bij wim vandaan kwamen,dutch,dutch2,1408.000000000001,dutch-01-007-8078,talk,toen we bij wim vandaan kwamen,6,30,1,205,1.5556098217596995e-10,NA,self,NA,NA,9055,0.942241855328548,0.954564621547544,2,7,0.857142857142857,2,99,68
10004,12504,spreker1 [v] (TIE0),toen was ik uhm liep ik naar de bus dus,/dutch2/DVA10O,toen was ik uhm liep ik naar de bus dus,dutch,dutch2,2500,dutch-01-008-10004,talk,toen was ik uhm liep ik naar de bus dus,10,39,1,205,1.5556098217596995e-10,NA,self,NA,NA,9874,0.947032610897306,0.912316363300379,2,7,0.857142857142857,2,99,68
13167,14675,spreker1 [v] (TIE0),en toen jullie tram weg was,/dutch2/DVA10O,en toen jullie tram weg was,dutch,dutch2,1508,dutch-01-009-13167,talk,en toen jullie tram weg was,6,27,1,205,1.5556098217596995e-10,NA,self,NA,NA,9358,0.944111989741398,0.853053783044667,2,7,0.857142857142857,2,99,68
15128,17525,spreker1 [v] (TIE0),toen kwam ik hun dus allemaal nog tegen dus effe*d gedag zeggen en zo,/dutch2/DVA10O,toen kwam ik hun dus allemaal nog tegen dus effe*d gedag zeggen en zo,dutch,dutch2,2397,dutch-01-010-15128,talk,toen kwam ik hun dus allemaal nog tegen dus effe*d gedag zeggen en zo,14,69,1,205,1.5556098217596995e-10,NA,self,NA,NA,10151,1,0.82865306122449,0,6,1,1,99,68
17525,20211,spreker1 [v] (TIE0),vroegen ze of ik mee ging maar nee ik ga echt niet mee echt niet mee,/dutch2/DVA10O,vroegen ze of ik mee ging maar nee ik ga echt niet mee echt niet mee,dutch,dutch2,2686,dutch-01-011-17525,talk,vroegen ze of ik mee ging maar nee ik ga echt niet mee echt niet mee,16,68,1,205,1.5556098217596995e-10,NA,self,NA,overlapped,10499,1,0.865325970493695,0,5,1,1,99,68
18676,19607,spreker2 [v] (TIE2),kch,/dutch2/DVA10O,kch,dutch,dutch2,931,dutch-01-012-18676,talk,kch,1,3,8,198,1.2444878574077598e-9,full,other,-1535,NA,10022,0.0928956296148473,0.981875183697463,1,5,0.2,2,27,74
20725,21911,spreker1 [v] (TIE0),uh toen kwam mijn bus d'r aan,/dutch2/DVA10O,uh toen kwam mijn bus d'r aan,dutch,dutch2,1186,dutch-01-013-20725,talk,uh toen kwam mijn bus d'r aan,7,29,1,205,1.5556098217596995e-10,NA,other,1118,NA,8708,0.893086816720257,0.995882891125343,2,5,0.8,2,99,68
22714,24645,spreker1 [v] (TIE0),dus ik stapte in en ik vraag aan die buschauffeur,/dutch2/DVA10O,dus ik stapte in en ik vraag aan die buschauffeur,dutch,dutch2,1931,dutch-01-014-22714,talk,dus ik stapte in en ik vraag aan die buschauffeur,10,49,1,205,1.5556098217596995e-10,NA,self,NA,NA,10639,0.912491775542814,0.926903641749434,2,6,0.833333333333333,2,99,68
24976,27873,spreker1 [v] (TIE0),denk je dat ik er minder dan een half uur over doe,/dutch2/DVA10O,denk je dat ik er minder dan een half uur over doe,dutch,dutch2,2897,dutch-01-015-24976,talk,denk je dat ik er minder dan een half uur over doe,12,50,1,205,1.5556098217596995e-10,NA,self,NA,NA,12028,0.922597273029598,0.943742644174186,2,6,0.833333333333333,2,99,68
28187,29699,spreker1 [v] (TIE0),om van hier naar muiderpoort te komen?,/dutch2/DVA10O,om van hier naar muiderpoort te komen?,dutch,dutch2,1512,dutch-01-016-28187,talk,om van hier naar muiderpoort te komen?,7,38,1,205,1.5556098217596995e-10,NA,self,NA,NA,8457,0.889913680974341,0.767214007076114,1,5,0.8,2,99,68
30080,31697,spreker1 [v] (TIE0),ja ja dat lukt wel zij die,/dutch2/DVA10O,ja ja dat lukt wel zij die,dutch,dutch2,1617,dutch-01-017-30080,talk,ja ja dat lukt wel zij die,7,26,1,205,1.5556098217596995e-10,NA,self,NA,NA,9143,1,0.833302952971199,0,5,1,1,99,68
31941,34000,spreker1 [v] (TIE0),dus ik dacht na dat is handig dus ik ging zitten,/dutch2/DVA10O,dus ik dacht na dat is handig dus ik ging zitten,dutch,dutch2,2059,dutch-01-018-31941,talk,dus ik dacht na dat is handig dus ik ging zitten,11,48,1,205,1.5556098217596995e-10,NA,self,NA,NA,10016,1,0.887471203260677,0,5,1,1,99,68
34978,36630,spreker1 [v] (TIE0),en op een gegeven moment hij ging allemaal,/dutch2/DVA10O,en op een gegeven moment hij ging allemaal,dutch,dutch2,1652,dutch-01-019-34978,talk,en op een gegeven moment hij ging allemaal,8,42,1,205,1.5556098217596995e-10,NA,self,NA,NA,6840,1,0.810138576335426,0,4,1,1,99,68
36816,38922,spreker1 [v] (TIE0),bochtjes en zo dus ik dacht ja dit gaat,/dutch2/DVA10O,bochtjes en zo dus ik dacht ja dit gaat,dutch,dutch2,2106,dutch-01-020-36816,talk,bochtjes en zo dus ik dacht ja dit gaat,9,39,1,205,1.5556098217596995e-10,NA,self,NA,NA,8946,1,0.833348858872846,0,5,1,1,99,68
38922,39968,spreker1 [v] (TIE0),echt lang duren,/dutch2/DVA10O,echt lang duren,dutch,dutch2,1046,dutch-01-021-38922,talk,echt lang duren,3,15,1,205,1.5556098217596995e-10,NA,self,NA,NA,8480,1,0.857605177993528,0,5,1,1,99,68
40629,42059,spreker1 [v] (TIE0),toen was de brug open ergens,/dutch2/DVA10O,toen was de brug open ergens,dutch,dutch2,1430,dutch-01-022-40629,talk,toen was de brug open ergens,6,28,1,205,1.5556098217596995e-10,NA,self,NA,NA,8293,1,0.819628385056335,0,5,1,1,99,68
42059,44048,spreker1 [v] (TIE0),dus ik denk nou lekker is dat weet je wel,/dutch2/DVA10O,dus ik denk nou lekker is dat weet je wel,dutch,dutch2,1989,dutch-01-023-42059,talk,dus ik denk nou lekker is dat weet je wel,10,41,1,205,1.5556098217596995e-10,NA,self,NA,NA,8223,1,0.906615214994487,0,5,1,1,99,68
44048,45956,spreker1 [v] (TIE0),en het werd later en later en op een gegeven moment,/dutch2/DVA10O,en het werd later en later en op een gegeven moment,dutch,dutch2,1908,dutch-01-024-44048,talk,en het werd later en later en op een gegeven moment,11,51,1,205,1.5556098217596995e-10,NA,self,NA,NA,10131,1,0.922845691382766,0,6,1,1,99,68
46351,49085,spreker1 [v] (TIE0),uhm nou toen waren we bij surinameplein,/dutch2/DVA10O,uhm nou toen waren we bij surinameplein,dutch,dutch2,2734,dutch-01-025-46351,talk,uhm nou toen waren we bij surinameplein,7,39,1,205,1.5556098217596995e-10,NA,self,NA,NA,11213,1,0.913929415600293,0,6,1,1,99,68
49410,51678,spreker1 [v] (TIE0),toen gingen we naar de rai en toen dacht ik ja,/dutch2/DVA10O,toen gingen we naar de rai en toen dacht ik ja,dutch,dutch2,2268,dutch-01-026-49410,talk,toen gingen we naar de rai en toen dacht ik ja,11,46,1,205,1.5556098217596995e-10,NA,self,NA,NA,10329,1,0.934835731740429,0,5,1,1,99,68
52143,53632,spreker1 [v] (TIE0),hij gaat ook nog naar wtc,/dutch2/DVA10O,hij gaat ook nog naar wtc,dutch,dutch2,1489,dutch-01-027-52143,talk,hij gaat ook nog naar wtc,6,25,1,205,1.5556098217596995e-10,NA,self,NA,NA,8399,1,0.876356427378965,0,4,1,1,99,68
53911,56703,spreker1 [v] (TIE0),hij gaat ook nog naar 't amstelstation en dan pas naar muiderpoort,/dutch2/DVA10O,hij gaat ook nog naar 't amstelstation en dan pas naar muiderpoort,dutch,dutch2,2792,dutch-01-028-53911,talk,hij gaat ook nog naar 't amstelstation en dan pas naar muiderpoort,12,66,1,205,1.5556098217596995e-10,NA,self,NA,NA,11191,1,0.88431450019755,0,5,1,1,99,68
56796,59669,spreker1 [v] (TIE0),en toen was het dus al vijf voor half één en mijn trein ging om kwart voor één,/dutch2/DVA10O,en toen was het dus al vijf voor half één en mijn trein ging om kwart voor één,dutch,dutch2,2873,dutch-01-029-56796,talk,en toen was het dus al vijf voor half één en mijn trein ging om kwart voor één,18,78,1,205,1.5556098217596995e-10,NA,self,NA,overlapped,9422,1,0.918413100692075,0,4,1,1,99,68
56867,57227,spreker2 [v] (TIE2),kch,/dutch2/DVA10O,kch,dutch,dutch2,360,dutch-01-030-56867,talk,kch,1,3,8,198,1.2444878574077598e-9,full,other,164,NA,9782,0.0368022899202617,0.953504240179355,1,5,0.2,2,27,74
60439,60776,spreker1 [v] (TIE0),[laugh],/dutch2/DVA10O,ggg,dutch,dutch2,337,dutch-01-031-60439,laugh,NA,NA,NA,NA,NA,NA,NA,other,3212,NA,7851,0.954145968666412,0.909417352021314,2,5,0.8,2,NA,NA
61149,63591,spreker1 [v] (TIE0),dus ik dacht dat gaat dat gaat me dus niet lukken,/dutch2/DVA10O,dus ik dacht dat gaat dat gaat me dus niet lukken,dutch,dutch2,2442,dutch-01-032-61149,talk,dus ik dacht dat gaat dat gaat me dus niet lukken,11,49,1,205,1.5556098217596995e-10,NA,self,NA,NA,10293,0.965024774118333,0.899109014675052,2,6,0.833333333333333,2,99,68
64102.99999999999,66953,spreker1 [v] (TIE0),dus op een gegeven moment waren we na voorbij wtc en zo en toen waren we,/dutch2/DVA10O,dus op een gegeven moment waren we na voorbij wtc en zo en toen waren we,dutch,dutch2,2850.0000000000073,dutch-01-033-64103,talk,dus op een gegeven moment waren we na voorbij wtc en zo en toen waren we,16,72,1,205,1.5556098217596995e-10,NA,self,NA,NA,8862,0.95937711577522,0.87250172294969,2,5,0.8,2,99,68
66953,68055,spreker1 [v] (TIE0),bij het amstelstation,/dutch2/DVA10O,bij het amstelstation,dutch,dutch2,1102,dutch-01-034-66953,talk,bij het amstelstation,3,21,1,205,1.5556098217596995e-10,NA,self,NA,NA,6731,1,0.883797268907563,0,4,1,1,99,68
68311,70777,spreker1 [v] (TIE0),dus ik was boos want hij had gewoon gelogen want het was al,/dutch2/DVA10O,dus ik was boos want hij had gewoon gelogen want het was al,dutch,dutch2,2466,dutch-01-035-68311,talk,dus ik was boos want hij had gewoon gelogen want het was al,13,59,1,205,1.5556098217596995e-10,NA,self,NA,NA,9197,1,0.889630489456375,0,5,1,1,99,68
71079.00000000001,73371,spreker1 [v] (TIE0),veertig minuten of zo en mijn trein ging weg,/dutch2/DVA10O,veertig minuten of zo en mijn trein ging weg,dutch,dutch2,2291.9999999999854,dutch-01-036-71079,talk,veertig minuten of zo en mijn trein ging weg,9,44,1,205,1.5556098217596995e-10,NA,self,NA,NA,11151,1,0.912371134020619,0,5,1,1,99,68
74132,75539,spreker1 [v] (TIE0),dus ik ging naar die naar die gast toe,/dutch2/DVA10O,dus ik ging naar die naar die gast toe,dutch,dutch2,1407,dutch-01-037-74132,talk,dus ik ging naar die naar die gast toe,9,38,1,205,1.5556098217596995e-10,NA,self,NA,NA,7266,1,0.846261355695318,0,4,1,1,99,68
75970,77994,spreker1 [v] (TIE0),en ik zeg ja uh godverdomme wat is dit?,/dutch2/DVA10O,en ik zeg ja uh godverdomme wat is dit?,dutch,dutch2,2024,dutch-01-038-75970,talk,en ik zeg ja uh godverdomme wat is dit?,9,39,1,205,1.5556098217596995e-10,NA,self,NA,NA,9290,1,0.841409292636537,0,5,1,1,99,68
78226,79541,spreker1 [v] (TIE0),waarom heb je dat niet gezegd?,/dutch2/DVA10O,waarom heb je dat niet gezegd?,dutch,dutch2,1315,dutch-01-039-78226,talk,waarom heb je dat niet gezegd?,6,30,1,205,1.5556098217596995e-10,NA,self,NA,NA,9503,1,0.846215494211932,0,5,1,1,99,68
79984.00000000001,81543,spreker1 [v] (TIE0),hoor ik in ene m'n naam achter me,/dutch2/DVA10O,hoor ik in ene m'n naam achter me,dutch,dutch2,1558.9999999999854,dutch-01-040-79984,talk,hoor ik in ene m'n naam achter me,8,33,1,205,1.5556098217596995e-10,NA,self,NA,NA,8595,1,0.821387614678899,0,5,1,1,99,68
81822,82880,spreker1 [v] (TIE0),dus ik kijk om,/dutch2/DVA10O,dus ik kijk om,dutch,dutch2,1058,dutch-01-041-81822,talk,dus ik kijk om,4,14,1,205,1.5556098217596995e-10,NA,self,NA,NA,7362,1,0.84156378600823,0,5,1,1,99,68
83160,84497,spreker1 [v] (TIE0),staat jantina daar,/dutch2/DVA10O,staat jantina daar,dutch,dutch2,1337,dutch-01-042-83160,talk,staat jantina daar,3,18,1,205,1.5556098217596995e-10,NA,self,NA,NA,8699,1,0.8392667631452,0,6,1,1,99,68
85031,85787,spreker2 [v] (TIE2),[laugh],/dutch2/DVA10O,ggg,dutch,dutch2,756,dutch-01-043-85031,laugh,NA,NA,NA,NA,NA,NA,NA,other,534,NA,8048,0.0939363817097416,0.819802383620251,1,6,0.166666666666667,2,NA,NA
86113,87858,spreker1 [v] (TIE0),want jantina had de metro gemist,/dutch2/DVA10O,want jantina had de metro gemist,dutch,dutch2,1745,dutch-01-044-86113,talk,want jantina had de metro gemist,6,32,1,205,1.5556098217596995e-10,NA,other,326,NA,7769,0.902690178916205,0.806582225913621,2,6,0.833333333333333,2,99,68
88158.99999999999,90334,spreker2 [v] (TIE2),ja klopt wa*a was net de laatste we hadden eenenvijftig en,/dutch2/DVA10O,ja klopt wa*a was net de laatste we hadden eenenvijftig en,dutch,dutch2,2175.0000000000146,dutch-01-045-88159,talk,ja klopt wa*a was net de laatste we hadden eenenvijftig en,11,58,1,205,1.5556098217596995e-10,NA,other,300.99999999998545,NA,9944,0.294750603378922,0.821275189957053,3,7,0.285714285714286,2,99,68
90334,91730,spreker2 [v] (TIE2),drieënvijftig kwamen nog,/dutch2/DVA10O,drieënvijftig kwamen nog,dutch,dutch2,1396,dutch-01-046-90334,talk,drieënvijftig kwamen nog,3,24,1,205,1.5556098217596995e-10,NA,self,NA,NA,8467,0.511042872327861,0.854561970125151,3,6,0.5,2,99,68
91730,93417,spreker2 [v] (TIE2),maar zij moest de vierenvijftig,/dutch2/DVA10O,maar zij moest de vierenvijftig,dutch,dutch2,1687,dutch-01-047-91730,talk,maar zij moest de vierenvijftig,5,31,1,205,1.5556098217596995e-10,NA,self,NA,NA,10154,0.592278904865078,0.875722294092281,3,7,0.571428571428571,2,99,68
93628,96489,spreker1 [v] (TIE0),ja en dus ik dacht wat doet zij nou hier?,/dutch2/DVA10O,ja en dus ik dacht wat doet zij nou hier?,dutch,dutch2,2861,dutch-01-048-93628,talk,ja en dus ik dacht wat doet zij nou hier?,10,41,1,205,1.5556098217596995e-10,NA,other,211,NA,10620,0.433709981167608,0.926863326933147,3,6,0.333333333333333,2,99,68
96943,98699,spreker1 [v] (TIE0),enne na toen uh,/dutch2/DVA10O,enne na toen uh,dutch,dutch2,1756,dutch-01-049-96943,talk,enne na toen uh,4,15,1,205,1.5556098217596995e-10,NA,self,NA,NA,9875,0.467544303797468,0.936907020872865,1,5,0.4,2,99,68
99475,100522,spreker1 [v] (TIE0),uiteindelijk uh,/dutch2/DVA10O,uiteindelijk uh,dutch,dutch2,1046.9999999999854,dutch-01-050-99475,talk,uiteindelijk uh,2,15,4,202,6.222439287038799e-10,NA,self,NA,NA,8746,0.647495998170592,0.858460934432666,1,5,0.6,2,29,73
100953,102535,spreker1 [v] (TIE0),de de bus ging weg want ze vroeg aan mijn,/dutch2/DVA10O,de de bus ging weg want ze vroeg aan mijn,dutch,dutch2,1582,dutch-01-051-100953,talk,de de bus ging weg want ze vroeg aan mijn,10,41,1,205,1.5556098217596995e-10,NA,self,NA,NA,8932,0.811128526645768,0.826654326700602,1,5,0.8,2,99,68
102535,104245,spreker1 [v] (TIE0),buschauffeur van wanneer gaat mijn bus,/dutch2/DVA10O,buschauffeur van wanneer gaat mijn bus,dutch,dutch2,1710,dutch-01-052-102535,talk,buschauffeur van wanneer gaat mijn bus,6,38,1,205,1.5556098217596995e-10,NA,self,NA,NA,8955,1,0.843458604125459,0,5,1,1,99,68
104676,106770,spreker1 [v] (TIE0),[laugh] ik wist 't ook niet en die buschauffeur ook niet,/dutch2/DVA10O,ggg ik wist 't ook niet en die buschauffeur ook niet,dutch,dutch2,2094.0000000000146,dutch-01-053-104676,talk,ik wist 't ook niet en die buschauffeur ook niet,10,48,1,205,1.5556098217596995e-10,NA,self,NA,NA,8188,1,0.833214612801465,0,5,1,1,99,68
107235,109527,spreker1 [v] (TIE0),en nou ja toen heb ik die bus dus niet gehaald,/dutch2/DVA10O,en nou ja toen heb ik die bus dus niet gehaald,dutch,dutch2,2292,dutch-01-054-107235,talk,en nou ja toen heb ik die bus dus niet gehaald,11,46,1,205,1.5556098217596995e-10,NA,self,NA,NA,8724,1,0.867886987664146,0,5,1,1,99,68
109527,110609,spreker1 [v] (TIE0),of die trein dus niet gehaald,/dutch2/DVA10O,of die trein dus niet gehaald,dutch,dutch2,1082.0000000000146,dutch-01-055-109527,talk,of die trein dus niet gehaald,6,29,1,205,1.5556098217596995e-10,NA,self,NA,NA,8760,1,0.907207953603977,0,5,1,1,99,68
111095,112886,spreker1 [v] (TIE0),dus uiteindelijk ging die naar uh,/dutch2/DVA10O,dus uiteindelijk ging die naar uh,dutch,dutch2,1791,dutch-01-056-111095,talk,dus uiteindelijk ging die naar uh,6,33,1,205,1.5556098217596995e-10,NA,self,NA,NA,8969,1,0.866486329823206,0,5,1,1,99,68
112886,114445,spreker1 [v] (TIE0),kruislaan dus ik was uitgestapt,/dutch2/DVA10O,kruislaan dus ik was uitgestapt,dutch,dutch2,1559,dutch-01-057-112886,talk,kruislaan dus ik was uitgestapt,5,31,1,205,1.5556098217596995e-10,NA,self,NA,NA,8818,1,0.902651243730167,0,5,1,1,99,68
114864,115341,spreker1 [v] (TIE0),denk ja,/dutch2/DVA10O,denk ja,dutch,dutch2,477.00000000001455,dutch-01-058-114864,talk,denk ja,2,7,8,198,1.2444878574077598e-9,NA,self,NA,NA,7201,1,0.888354305452751,0,5,1,1,27,74
115701,118644,spreker1 [v] (TIE0),godverdomme weet je wel ik kom niet meer thuis dus ik moet gaan lopen,/dutch2/DVA10O,godverdomme weet je wel ik kom niet meer thuis dus ik moet gaan lopen,dutch,dutch2,2943,dutch-01-059-115701,talk,godverdomme weet je wel ik kom niet meer thuis dus ik moet gaan lopen,14,69,1,205,1.5556098217596995e-10,NA,self,NA,NA,10144,1,0.889122622491016,0,6,1,1,99,68
